,CBG_id_v,Income_v,Wp_v,Pbb_v,Upp_v
2708,G48020105325021,68740.46941323346,0.27007928095902,0.224299778467505,0.0436306160982915
2709,G48020105518003,90296.46984363366,0.3794802406364793,0.3469284620170104,0.0393408540558791
2710,G48020105342043,86316.91413237924,0.3473730043886309,0.3178396671240178,0.0400033292406137
2711,G48020105342042,80880.36933333334,0.3441491385733491,0.3024078156372256,0.041886018233814
2712,G48020105342041,79136.22469635628,0.3306664842619733,0.2761346428347114,0.0413055431220428
2713,G48020105326004,53183.01107594937,0.2029120472221381,0.1829909018125576,0.0467948006669051
2714,G48020105518001,91963.69447896324,0.3916059152586419,0.3555100098933815,0.0397102732627755
2715,G48020105326002,62456.57894736842,0.2446763826279679,0.2105910444838944,0.0442321862175823
2716,G48020105325032,84330.58050847458,0.3395453243129621,0.3163139342010383,0.0416661188055421
2717,G48020102221002,51545.329545454544,0.2639742009241374,0.1384608032472679,0.0389388390046339
2718,G48020105335001,63679.33508618171,0.2804076602465181,0.2151447225837284,0.0441558131588959
2719,G48020102319001,55262.06172839506,0.2284977622359986,0.1773272318218747,0.0493199144039572
2720,G48020102222002,54081.06464924347,0.2587388796173543,0.1510288579782113,0.0389377438200609
2721,G48020105333021,57196.35422343324,0.2156239601917087,0.1687164265267317,0.0528131244032004
2722,G48020102219001,48916.72986577181,0.2407411533788545,0.108478585881005,0.035748981946174
2723,G48020102217022,53266.20012626263,0.2517751348617353,0.1440594185413573,0.0431416424111972
2724,G48020102217021,52868.40909090909,0.2615145708028873,0.1311664402829487,0.0373226896104232
2725,G48020102218002,55794.43581780538,0.2634834068417203,0.1494842026503825,0.0378965798680096
2726,G48020105334012,58357.80032555616,0.2331382806889644,0.1782858641725334,0.0442350563415298
2727,G48020105412042,86228.35237329043,0.319717953308224,0.3329220819668811,0.0490452466329473
2728,G48020105412043,87279.68459434822,0.3225847826485263,0.3242949974265009,0.0462915980294853
2729,G48020105430112,88591.50228310503,0.3118991415662417,0.3154114319528414,0.0484996216289619
2730,G48020105412061,88964.35831509846,0.3330619829011725,0.3307152905208837,0.0447161972226279
2731,G48020105412031,90534.97524848956,0.345507578742446,0.3416638785169786,0.0445334604874004
2732,G48020105430101,90525.7988394584,0.3279018665419013,0.3352066274388836,0.0461513115431247
2733,G48020105409041,92234.67193808882,0.3533165344359191,0.3482433007105037,0.0439461394916854
2734,G48020105430081,91625.91795043537,0.3364857507028445,0.333908735900028,0.0449934675608329
2735,G48020105408001,81352.88549618321,0.3178147176443319,0.3009101567233655,0.0493311832414573
2736,G48020105412062,91346.26592880646,0.3315885273180294,0.3375575647482836,0.0438296328812438
2737,G48020105326003,58508.58805970149,0.2278605255237242,0.2086364878520455,0.0436851899399636
2738,G48020105329002,57678.53953488372,0.2202542374878696,0.2005416111367106,0.0460783015789229
2739,G48020105342044,79195.33808553971,0.3577363792870576,0.3215698044206935,0.0412308739907483
2740,G48020105329001,56749.38846153846,0.2176477358329132,0.2010011508268099,0.046159756330115
2741,G48020105334011,56950.34169278997,0.2313114245354947,0.1820462192075728,0.045447419800997
2742,G48020105408004,85741.66882198423,0.349172464052176,0.3237220495804575,0.0413920032054931
2743,G48020105518002,90694.34116112198,0.3889076020813662,0.3476016339093714,0.0383450127627856
2744,G48020105325031,74377.60395108184,0.3090095474568563,0.2652394770779893,0.0444082848674027
2745,G48020105325042,79503.10068649886,0.2894786549596841,0.2496246012919085,0.0384210238456556
2746,G48020105330001,62249.40296924709,0.2298776443152056,0.2148440512170969,0.0425007778002709
2747,G48020105342052,90764.6921965318,0.3509285516611725,0.3537530422774799,0.0396894621775076
2748,G48020105334013,57006.41884057971,0.2167156260837094,0.16732105782693,0.0506771388271711
2749,G48020105334022,62674.12610489099,0.2425594453223818,0.2044896670632247,0.0450287585221904
2750,G48020105326001,60026.43489932886,0.2307160713264758,0.2008664701825342,0.0441538799268806
2751,G48020105325022,68239.32731376975,0.2525810008318175,0.2185907302539534,0.0418633580539437
2752,G48020105329003,60207.9075535513,0.2324002375181775,0.2099573586884485,0.0424647505583756
2753,G48020105342051,81776.8561983471,0.3586895934007809,0.3152252633151545,0.0418932744872555
2754,G48020105326005,63643.29882604056,0.2455398766200192,0.210896017805399,0.0431846246854736
2755,G48020105519012,88446.48516320475,0.375033193902082,0.3351519066971153,0.039340915881132
2756,G48020105517021,88426.05633802817,0.3795080875492481,0.3434504120726049,0.0396337884512989
2757,G48020102216012,53954.65415019763,0.2511643343069656,0.1384157524255431,0.0389605811418869
2758,G48020102223003,48824.36513157895,0.2439951953692063,0.114417613616642,0.0335738050182478
2759,G48020102216011,60589.08687381104,0.273128400189183,0.1882187493432712,0.0420630784398693
2760,G48020105335003,57767.21644736842,0.2298063949206567,0.1724562431860503,0.04682743738603
2761,G48020102223001,54228.673482032216,0.2555928480388691,0.1354906200676572,0.0384890086793236
2762,G48020102223002,55090.03441011236,0.264892782870184,0.1460565574415149,0.0347816900913091
2763,G48020102222001,59407.713665315576,0.2731362678378691,0.1751799720398724,0.0417649566806767
2764,G48020102224011,53957.94751535455,0.2549105664790411,0.139638705279061,0.0390600548734011
2765,G48020102320002,55970.24068479356,0.2269965636704209,0.172663585546282,0.0483085372822468
2766,G48020105335002,59751.622406639006,0.2554993611290826,0.1847900706244498,0.0427851997385208
2767,G48020105409011,87730.09354604786,0.3435374783790735,0.339807575445119,0.0415631093115603
2768,G48020105430092,95235.21604938273,0.3292917481646538,0.350221590112037,0.0426558798219578
2769,G48020105430082,94688.77481840194,0.3509769941512749,0.3560108292611783,0.0417504130837713
2770,G48020105430111,91873.26794871796,0.3334652574827644,0.347238535824998,0.0439275900832487
2771,G48020105412052,88787.56701030929,0.3562325714761825,0.3325488107772123,0.0477642822110634
2772,G48020105412032,93152.07675906183,0.3809510880568667,0.3637396731485097,0.0392186685306361
2773,G48020105412071,94416.4161849711,0.3578228178765738,0.3580636201705797,0.0422671298636692
2774,G48020105412051,96610.64018691589,0.3677867644398525,0.3623185816606862,0.0399793967377659
2775,G48020105430052,95161.57817460316,0.3480324250108254,0.3571141315999562,0.0414753118103926
2776,G48020105409042,89663.13407821229,0.3569225442427373,0.3462014830231951,0.0427726960893928
2777,G48020105519021,88963.95610913404,0.3751446335845523,0.3360624700574047,0.041389612546814
2778,G48020105411001,89841.79242174629,0.3612715966878375,0.3544353087941014,0.0446802882520312
2779,G48020105409043,88621.54309099662,0.3572225431662374,0.3465771980885593,0.0443314574926933
2780,G48020105411002,95327.74163568774,0.3702118551379917,0.3735369814100438,0.0427712302471147
2781,G48020105408003,85439.00162689805,0.3552373589636534,0.3187500202403464,0.0420334563048728
2782,G48020105412072,99420.63055555556,0.3778291545726201,0.3835377693189878,0.0406331123357393
2783,G48020105411003,92491.30769230767,0.3791516564617935,0.3680125772181694,0.0430959598858091
2784,G48020105409032,90554.9623931624,0.3631273701047534,0.3525256760126015,0.0437475238080822
2785,G48020105520041,91144.82521008403,0.3865534405150521,0.3443470202455893,0.0403689104348357
2786,G48020105410053,89178.10386352232,0.3600918533008944,0.3561524395757555,0.0452310618657843
2787,G48020105517043,84905.18272425249,0.3740822993643002,0.33631206164343,0.0387322718780354
2788,G48020105517042,87222.5248152059,0.3886045131009709,0.3439379236048227,0.0389891516795568
2789,G48020105519022,88061.75299760191,0.3729803900522654,0.3429201537848374,0.0408149335096972
2790,G48020105517022,92096.81542699724,0.3908344736550254,0.3499345273953555,0.0401371388894348
2791,G48020105341022,74882.29260089686,0.3014663013299652,0.268227426242504,0.0440125498120103
2792,G48020105338031,63909.45964642583,0.2524019843930385,0.1948216513133184,0.0467604429804229
